English,Telugu,MIX CODE (TENGLISH),TRANSLITERATION
His legs are long.,అతని కాళ్ళు పొడవుగా ఉన్నాయి.          ,అతని legs పొడవుగా ఉన్నాయి.,Athani legs podhavuga unnayi.
Who taught Tom how to speak French?,టామ్ ఫ్రెంచ్ మాట్లాడటం ఎలా నేర్పించారు?          ,టామ్ french మాట్లాడటం ఎవరూ నేర్పారు?,Tom french maatladadam evaru nerparu?
I swim in the sea every day.,నేను ప్రతి రోజు సముద్రంలో ఈత కొడతాను.          ,నేను ప్రతి రోజు sea లో swim చేస్తాను.,Nenu prati roju sea lo swim chesthanu.
Tom popped into the supermarket on his way home to buy some milk.,టామ్ కొంచెం పాలు కొనడానికి ఇంటికి వెళ్ళేటప్పుడు సూపర్ మార్కెట్లోకి ప్రవేశించాడు.          ,టామ్ supermarket లోకి వెళ్ళి milk కొన్నాడు.,Tom supermarket loki velli milk konnadu.
Smoke filled the room.,పొగ గదిని నింపింది.          ,పొగ room నింపింది.,Poga room nindindi.
Tom and Mary understood each other.,టామ్ మరియు మేరీ ఒకరినొకరు అర్థం చేసుకున్నారు.          ,టామ్ మరియు Mary ఒకరినొకరు understand చేసుకున్నారు.,Tom mariyu Mary okarinokaru understand chesukunnaru.
Many men want to be thin  too.,చాలా మంది పురుషులు కూడా సన్నగా ఉండాలని కోరుకుంటారు.         ,చాలా men కూడా thin గా ఉండాలని కోరుకుంటారు.,Chaala men kuda thin ga undaalani korukuntaru.
We need three cups.,మాకు మూడు కప్పులు అవసరం.          ,మాకు three కప్పులు అవసరం.,Maaku three kappulu avasaram.
I warned Tom not to come here.,టామ్‌ను ఇక్కడికి రానివ్వమని హెచ్చరించాను.          ,టామ్‌ను ఇక్కడికి రాకుండా warning ఇచ్చాను.,Tom ni ikkada ki raakunda warning ichanu.
You two may leave.,మీరిద్దరూ వెళ్ళవచ్చు.          ,మీరు two people leave కావచ్చు.,Meeru two people leave kaavachu.
He feels very happy.,అతను చాలా సంతోషంగా ఉన్నాడు.          ,అతను very happy గా ఉన్నాడు.,Athanu very happy ga unnadu.
Tom wasn't smiling when he entered the room.,గదిలోకి ప్రవేశించినప్పుడు టామ్ నవ్వలేదు.          ,టామ్ room లోకి వచ్చినప్పుడు smile చేయలేదు.,Tom room loki vachinappudu smile cheyyaledu.
What can it be?,అది ఏమిటి?          ,అది ఏమి అవుతుందో what could it be?,Adi emi avutundo what could it be?
Is your car black?,మీ కారు నల్లగా ఉందా?          ,మీ car black color లో ఉందా?,Mee car black color lo unda?
I have to take my medicine every six hours.,ప్రతి ఆరు గంటలకు నా medicine షధం తీసుకోవాలి.          ,ప్రతి 6 hours కి నా medicine తీసుకోవాలి.,Prati 6 hours ki naa medicine teesukovali.
Tom can fix the heater.,టామ్ హీటర్ను పరిష్కరించగలడు.          ,టామ్ heater fix చేయగలడు.,Tom heater fix cheyagaladu.
